birthPlaceCountry,countryOfIncorporation,countryOfResidency,deathTime,firstName,isActive,lastName,legalName,listedCompany,maritalStatus,middleName,name,nameAlias,nationality,occupation,organizationSymbol,partyId,partyType,sourceOfIncome,title,website,gender,homePhone,alternatePhone,cellPhone,primaryPhone,workPhone,alternateEmail,companyEmail,personalEmail,workEmail,isIndividual
US,US,US,,,,,,,,,,,US,,,2,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,3,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,6,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,7,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,8,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,10,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,12,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,15,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,16,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,17,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,21,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,22,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,24,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,25,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,33,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,35,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,37,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,38,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,41,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,42,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,46,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,48,Organization,,,,,,,,,,,,,,False
