step,normal,SAR
0,1223,3
1,1223,0
2,1223,0
3,1223,1
4,1223,0
5,1223,0
6,1223,1
7,1223,0
8,1223,0
9,1223,1
10,1223,0
11,1223,0
12,1223,2
13,1223,0
14,1223,0
15,1223,1
16,1223,0
17,1223,1
18,1223,2
19,1223,0
20,1223,0
21,1223,3
22,1223,1
23,1223,0
24,1223,2
25,1223,0
26,1223,0
27,1223,1
28,1223,0
29,1223,0
30,1223,1
31,1223,0
32,1223,0
33,1223,1
34,1223,0
35,1223,0
36,1223,2
37,1223,0
38,1223,0
39,1223,0
40,1223,0
41,1223,0
42,1223,1
43,1223,0
44,1223,0
45,1223,0
46,1223,0
47,1223,0
48,1223,0
49,1223,0
50,1223,0
51,1223,0
52,1223,0
53,1223,0
54,1223,0
55,1223,1
56,1223,0
57,1223,0
58,1223,0
59,1223,0
60,1223,1
61,1223,1
62,1223,0
63,1223,0
64,1223,0
65,1223,0
66,1223,1
67,1223,1
68,1223,0
69,1223,1
70,1223,0
71,1223,0
72,1223,0
73,1223,0
74,1223,0
75,1223,0
76,1223,0
77,1223,0
78,1223,0
79,1223,1
80,1223,0
81,1223,0
82,1222,0
83,1222,0
84,1222,1
85,1222,0
86,1221,0
87,1220,0
88,1219,0
89,1217,0
90,1214,0
91,1214,0
92,1213,0
93,1210,0
94,1206,0
95,1204,0
96,1197,0
97,1192,0
98,1185,0
99,1184,0
100,1176,0
101,1169,0
102,1167,0
103,1160,0
104,1150,0
105,1140,0
106,1139,0
107,1130,0
108,1123,0
109,1117,0
110,1115,0
111,1109,1
112,1099,0
113,1091,0
114,1087,0
115,1081,0
116,1069,2
117,1063,2
118,1062,2
119,1055,5
120,1055,4
121,1047,0
122,1033,2
123,1034,4
124,1029,3
125,1026,3
126,1019,1
127,1009,0
128,1007,0
129,999,0
130,997,1
131,989,0
132,977,2
133,974,1
134,974,0
135,962,0
136,942,0
137,933,0
138,924,0
139,918,0
140,911,0
141,896,0
142,896,0
143,894,0
144,876,0
145,873,0
146,865,0
147,860,0
148,850,0
149,841,0
150,822,0
151,824,0
152,826,0
153,816,0
154,803,0
155,787,0
156,776,0
157,769,0
158,766,1
159,762,0
160,744,0
161,721,0
162,713,0
163,713,0
164,703,0
165,701,0
166,686,0
167,682,0
168,668,0
169,670,0
170,669,1
171,669,0
172,664,0
173,653,4
174,642,2
175,632,2
176,627,0
177,623,1
178,621,1
179,605,2
180,606,1
181,586,0
182,572,0
183,574,0
184,569,0
185,557,0
186,559,0
187,562,0
188,557,0
189,545,0
190,528,0
191,531,0
192,530,0
193,526,1
194,516,0
195,508,0
196,523,2
197,509,0
198,513,0
199,478,0
200,490,0
201,490,0
202,503,0
203,499,0
204,496,0
205,479,0
206,483,0
207,492,0
208,481,0
209,482,1
210,470,0
211,464,0
212,479,0
213,485,0
214,468,0
215,472,0
216,460,0
217,450,0
218,455,0
219,443,0
220,455,0
221,462,0
222,472,0
223,476,0
224,482,0
225,481,0
226,467,0
227,471,0
228,470,0
229,450,0
230,460,0
231,466,0
232,467,0
233,451,0
234,434,0
235,433,0
236,446,0
237,453,0
238,455,0
239,456,0
240,452,0
241,443,0
242,451,1
243,451,0
244,443,0
245,440,0
246,439,6
247,450,5
248,447,0
249,451,5
250,449,1
251,447,0
252,428,0
253,434,0
254,438,0
255,450,0
256,429,0
257,445,0
258,460,0
259,455,0
260,445,0
261,443,0
262,436,0
263,433,0
264,431,0
265,449,0
266,459,1
267,452,0
268,453,0
269,434,0
270,427,0
271,430,0
272,415,0
273,415,0
274,413,0
275,409,0
276,421,0
277,424,0
278,433,0
279,424,0
280,419,0
281,418,0
282,430,0
283,421,0
284,418,0
285,421,0
286,421,0
287,396,0
288,406,0
289,399,0
290,397,0
291,398,0
292,408,0
293,413,0
294,415,1
295,425,0
296,430,0
297,408,0
298,403,0
299,388,0
300,407,0
301,401,0
302,393,0
303,393,0
304,375,0
305,382,0
306,402,1
307,408,0
308,392,0
309,382,0
310,382,0
311,396,0
312,394,0
313,389,0
314,386,1
315,387,0
316,391,0
317,401,0
318,404,0
319,400,0
320,396,0
321,394,0
322,384,0
323,367,0
324,370,0
325,370,0
326,376,0
327,383,0
328,365,0
329,366,0
330,369,0
331,370,0
332,379,0
333,354,0
334,372,0
335,382,0
336,405,0
337,396,1
338,392,1
339,380,0
340,372,0
341,369,0
342,371,0
343,366,0
344,360,0
345,363,0
346,356,0
347,361,0
348,348,0
349,337,0
350,350,0
351,363,0
352,369,0
353,369,0
354,343,0
355,343,0
356,352,0
357,354,0
358,356,0
359,343,0
360,345,0
361,340,0
362,334,0
