step,normal,SAR
0,1223,3
1,1223,0
2,1223,0
3,1223,1
4,1223,0
5,1223,0
6,1223,1
7,1223,0
8,1223,0
9,1223,1
10,1223,0
11,1223,0
12,1223,2
13,1223,0
14,1223,0
15,1223,1
16,1223,0
17,1223,1
18,1223,2
19,1223,0
20,1223,0
21,1223,3
22,1223,1
23,1223,0
24,1223,2
25,1223,0
26,1223,0
27,1223,1
28,1223,0
29,1223,0
30,1223,1
31,1223,0
32,1223,0
33,1223,1
34,1223,0
35,1223,0
36,1223,2
37,1223,0
38,1223,0
39,1223,0
40,1223,0
41,1223,0
42,1223,1
43,1223,0
44,1223,0
45,1223,0
46,1223,0
47,1223,0
48,1223,0
49,1223,0
50,1223,0
51,1223,0
52,1223,0
53,1223,0
54,1223,0
55,1223,1
56,1223,0
57,1223,0
58,1223,0
59,1223,0
60,1223,1
61,1223,1
62,1223,0
63,1223,0
64,1223,0
65,1223,0
66,1223,1
67,1223,1
68,1223,0
69,1223,1
70,1223,0
71,1223,0
72,1223,0
73,1223,0
74,1223,0
75,1223,0
76,1223,0
77,1223,0
78,1223,0
79,1223,1
80,1223,0
81,1223,0
82,1223,0
83,1223,0
84,1223,1
85,1223,0
86,1223,0
87,1223,0
88,1223,0
89,1222,0
90,1222,0
91,1219,0
92,1217,0
93,1213,0
94,1207,0
95,1202,0
96,1198,0
97,1189,0
98,1181,0
99,1173,0
100,1169,0
101,1165,0
102,1156,0
103,1153,0
104,1147,0
105,1145,0
106,1139,0
107,1133,0
108,1125,0
109,1119,0
110,1118,0
111,1107,1
112,1097,0
113,1092,0
114,1087,0
115,1086,0
116,1077,2
117,1073,2
118,1067,2
119,1063,5
120,1056,4
121,1045,0
122,1044,2
123,1042,4
124,1040,3
125,1027,3
126,1023,1
127,1018,0
128,1014,0
129,1003,0
130,998,1
131,992,0
132,987,2
133,978,1
134,983,0
135,965,0
136,952,0
137,937,0
138,930,0
139,920,0
140,909,0
141,902,0
142,903,0
143,893,0
144,880,0
145,868,0
146,861,0
147,852,0
148,840,0
149,831,0
150,829,0
151,828,0
152,830,0
153,816,0
154,800,0
155,793,0
156,782,0
157,775,0
158,767,1
159,770,0
160,759,0
161,743,0
162,721,0
163,721,0
164,704,0
165,688,0
166,691,0
167,688,0
168,672,0
169,671,0
170,671,1
171,667,0
172,655,0
173,638,4
174,631,2
175,616,2
176,622,0
177,610,1
178,597,1
179,596,2
180,599,1
181,582,0
182,568,0
183,558,0
184,546,0
185,552,0
186,538,0
187,538,0
188,546,0
189,546,0
190,539,0
191,529,0
192,516,0
193,512,1
194,518,0
195,507,0
196,519,2
197,517,0
198,508,0
199,495,0
200,500,0
201,519,0
202,510,0
203,498,0
204,487,0
205,486,0
206,492,0
207,482,0
208,494,0
209,490,1
210,478,0
211,482,0
212,472,0
213,477,0
214,471,0
215,472,0
216,475,0
217,466,0
218,464,0
219,467,0
220,457,0
221,458,0
222,478,0
223,471,0
224,474,0
225,472,0
226,473,0
227,474,0
228,466,0
229,464,0
230,456,0
231,455,0
232,459,0
233,449,0
234,449,0
235,431,0
236,446,0
237,461,0
238,452,0
239,464,0
240,452,0
241,443,0
242,439,1
243,441,0
244,452,0
245,448,0
246,441,6
247,448,5
248,450,0
249,457,3
250,449,1
251,436,0
252,450,0
253,436,0
254,435,0
255,452,0
256,453,0
257,445,0
258,452,0
259,448,0
260,441,0
261,439,0
262,431,0
263,438,0
264,429,0
265,449,0
266,458,1
267,458,0
268,445,0
269,432,0
270,423,0
271,433,0
272,428,0
273,414,0
274,418,0
275,409,0
276,414,0
277,414,0
278,446,0
279,437,0
280,419,0
281,407,0
282,417,0
283,423,0
284,419,0
285,414,0
286,421,0
287,416,0
288,387,0
289,384,0
290,384,0
291,389,0
292,399,0
293,398,0
294,417,0
295,425,0
296,423,0
297,418,0
298,412,0
299,402,0
300,401,0
301,395,0
302,402,0
303,388,0
304,393,0
305,394,0
306,410,1
307,400,0
308,397,0
309,392,0
310,400,0
311,406,0
312,394,0
313,395,0
314,380,1
315,393,0
316,396,0
317,401,0
318,402,0
319,389,0
320,398,0
321,406,0
322,383,0
323,374,0
324,369,0
325,391,0
326,392,0
327,387,0
328,375,0
329,363,0
330,370,0
331,372,0
332,373,0
333,374,0
334,373,0
335,387,0
336,392,0
337,379,1
338,375,1
339,372,0
340,365,0
341,367,0
342,367,0
343,355,0
344,359,0
345,365,0
346,346,0
347,372,0
348,369,0
349,361,0
350,366,0
351,359,0
352,373,0
353,374,0
354,362,0
355,348,0
356,361,0
357,366,0
358,363,0
359,345,0
360,345,0
361,347,0
