cust_acct_mapping_id,acct_id,cust_id,cust_acct_role,src_sys,data_dump_dt
1,0,0,Primary,1,2022-01-02T00:00:00Z
2,1,1,Primary,1,2022-01-02T00:00:00Z
3,2,2,Primary,1,2022-01-02T00:00:00Z
4,3,3,Primary,1,2022-01-02T00:00:00Z
5,4,4,Primary,1,2022-01-02T00:00:00Z
6,5,5,Primary,1,2022-01-02T00:00:00Z
7,6,6,Primary,1,2022-01-02T00:00:00Z
8,7,7,Primary,1,2022-01-02T00:00:00Z
9,8,8,Primary,1,2022-01-02T00:00:00Z
10,9,9,Primary,1,2022-01-02T00:00:00Z
11,10,10,Primary,1,2022-01-02T00:00:00Z
12,11,11,Primary,1,2022-01-02T00:00:00Z
13,12,12,Primary,1,2022-01-02T00:00:00Z
14,13,13,Primary,1,2022-01-02T00:00:00Z
15,14,14,Primary,1,2022-01-02T00:00:00Z
16,15,15,Primary,1,2022-01-02T00:00:00Z
17,16,16,Primary,1,2022-01-02T00:00:00Z
18,17,17,Primary,1,2022-01-02T00:00:00Z
19,18,18,Primary,1,2022-01-02T00:00:00Z
20,19,19,Primary,1,2022-01-02T00:00:00Z
21,20,20,Primary,1,2022-01-02T00:00:00Z
22,21,21,Primary,1,2022-01-02T00:00:00Z
23,22,22,Primary,1,2022-01-02T00:00:00Z
24,23,23,Primary,1,2022-01-02T00:00:00Z
25,24,24,Primary,1,2022-01-02T00:00:00Z
26,25,25,Primary,1,2022-01-02T00:00:00Z
27,26,26,Primary,1,2022-01-02T00:00:00Z
28,27,27,Primary,1,2022-01-02T00:00:00Z
29,28,28,Primary,1,2022-01-02T00:00:00Z
30,29,29,Primary,1,2022-01-02T00:00:00Z
31,30,30,Primary,1,2022-01-02T00:00:00Z
32,31,31,Primary,1,2022-01-02T00:00:00Z
33,32,32,Primary,1,2022-01-02T00:00:00Z
34,33,33,Primary,1,2022-01-02T00:00:00Z
35,34,34,Primary,1,2022-01-02T00:00:00Z
36,35,35,Primary,1,2022-01-02T00:00:00Z
37,36,36,Primary,1,2022-01-02T00:00:00Z
38,37,37,Primary,1,2022-01-02T00:00:00Z
39,38,38,Primary,1,2022-01-02T00:00:00Z
40,39,39,Primary,1,2022-01-02T00:00:00Z
41,40,40,Primary,1,2022-01-02T00:00:00Z
42,41,41,Primary,1,2022-01-02T00:00:00Z
43,42,42,Primary,1,2022-01-02T00:00:00Z
44,43,43,Primary,1,2022-01-02T00:00:00Z
45,44,44,Primary,1,2022-01-02T00:00:00Z
46,45,45,Primary,1,2022-01-02T00:00:00Z
47,46,46,Primary,1,2022-01-02T00:00:00Z
48,47,47,Primary,1,2022-01-02T00:00:00Z
49,48,48,Primary,1,2022-01-02T00:00:00Z
50,49,49,Primary,1,2022-01-02T00:00:00Z
51,50,50,Primary,1,2022-01-02T00:00:00Z
52,51,51,Primary,1,2022-01-02T00:00:00Z
53,52,52,Primary,1,2022-01-02T00:00:00Z
54,53,53,Primary,1,2022-01-02T00:00:00Z
55,54,54,Primary,1,2022-01-02T00:00:00Z
